"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"lumia 930","nokia","lumia 930",2014,"July","370","5",NA
"vivo y35",NA,NA,NA,NA,NA,NA,NA
"lumia 535 dual sim","microsoft","lumia 535 dual sim",2014,"December","80","5",NA
"i-mobile i-style 8.3 dtv",NA,NA,NA,NA,NA,NA,NA
"vivo y51",NA,NA,NA,NA,NA,NA,NA
"lenovo a6000-l","lenovo","vibe k5 plus",2016,"April","140","5","also known as lenovo a6020a46, lenovo lemon 3"
"lumia 530 dual sim","nokia","asha 308",2012,"October","70","3","also known as nokia asha 3080, nokia asha 308 dual sim, nokia asha charme 308"
"sm-g313","samsung","galaxy ace 4 lte g313",2014,"August","250","4","also known as samsung galaxy ace 4 lte g313f"
"sm-a910","samsung","galaxy a9 (2016)",2016,"January","550","6","also known as samsung galaxy a9 (2016) duos with dual-sim card slots"
"vivo y28",NA,NA,NA,NA,NA,NA,NA
"r7kf","oppo","r7 lite",2015,"October","250","5",NA
"smart 3.5'' touch+",NA,NA,NA,NA,NA,NA,NA
"i-style 8.5",NA,NA,NA,NA,NA,NA,NA
"sm-g920","samsung","galaxy s6",2015,"April","410","5.1","curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
"x9009","oppo","joy plus",2015,"May","100","4",NA
"asus z008d","asus","zenfone 2 ze550ml",2015,"March","250","5.5",NA
"vivo y31l",NA,NA,NA,NA,NA,NA,NA
"vivo y21",NA,NA,NA,NA,NA,NA,NA
"gt-i9300","samsung","i9300i galaxy s3 neo",2014,"April","300","4.8","versions:
samsung siii neo+ i9300i
samsung gt-i9300rwi with no nfc connectivity"
"lumia 620","nokia","lumia 620",2013,"January","120","3.8",NA
"vivo y37",NA,NA,NA,NA,NA,NA,NA
"lumia 925","nokia","lumia 925",2013,"June","260","4.5",NA
"asus z00vd","asus","zenfone go zc500tg",2015,"August","130","5",NA
"sm-t231","samsung","galaxy tab 4 7.0 3g",2014,"May","240","7","tablet with support for gsm voice communication, sms, and mms
also known as samsung t231, galaxy tab4 7.0 3g"
"lumia 1520","nokia","lumia 1520",2013,"November","350","6","rm-937 - global version
rm-938 - us version
rm-939 - wcdma hspa+ version
rm-940 - at&t version"
"true smart 4.0",NA,NA,NA,NA,NA,NA,NA
"r1001","oppo","r1001 joy",2014,"May","100","4",NA
"r831k","oppo","a53",2015,"December",NA,"5.5",NA
"asus t00q","asus","zenfone 4 a450cg",2014,"July","100","4.5",NA
"sm-g928","samsung","galaxy s6 edge+",2015,"August","500","5.7","versions: g928f (europe); g928g (india); g928t (t-mobile); g928a (at&t); g928i (australia, new zealand, singapore)"
"gt-i9200","samsung","galaxy mega 6.3 i9200",2013,"June","300","6.3","also known as samsung sgh-i527 for at&t"
"asus z00ud","asus","zenfone selfie zd551kl",2015,"August","280","5.5",NA
"lumia 820","nokia","lumia 820",2012,"November","170","4.3",NA
"smart 4g speedy 5inch",NA,NA,NA,NA,NA,NA,NA
"kii-l22","huawei","y6 pro",2015,"October","280","5","also known as honor play 5x, enjoy 5"
"smart 4g plus",NA,NA,NA,NA,NA,NA,NA
"pulp",NA,NA,NA,NA,NA,NA,NA
"sm-j105","samsung","galaxy j1 nxt",2016,"February","90","4","also known as samsung galaxy j1 mini (2016)"
"a1601","oppo","f1s",2016,"August","300","5.5",NA
"iris 755",NA,NA,NA,NA,NA,NA,NA
"vivo y15",NA,NA,NA,NA,NA,NA,NA
"smart 3.5'' touch",NA,NA,NA,NA,NA,NA,NA
"rob",NA,NA,NA,NA,NA,NA,NA
"zte blade l110",NA,NA,NA,NA,NA,NA,NA
"asus z002","asus","zenfone 6 a600cg",2014,"May","250","6",NA
"k012","asus","p735",2007,"January","370","2.8",NA
"r8106","oppo","r5s",2015,"August","200","5.2",NA
"r7sf","oppo","r7s",2015,"December","370","5.5",NA
"lumia 640 xl dual sim","microsoft","lumia 640 xl dual sim",2015,"April","170","5.7",NA
"a37f","oppo","a37",2016,"June","220","5",NA
